WKT;establecim;sector;dependenci;calle;nro;modalidad;oferta
"POINT (-63.25025677 -32.4000635799924)";ESC.ESP.RECUPERADORA PABLO VI - ANEXO IDA - VILLA MARIA;Estatal;Provincial;RAWSON;"1300";Especial;Educacion Especial
"POINT (-63.24729899 -32.4061700699924)";INSTITUTO LA SANTISIMA TRINIDAD PROF. DE EDUC.FISICA;Privado;Provincial;SALTA;"1138";Común;Común - SNU
"POINT (-63.2495 -32.4048999999924)";COLEGIO LA SANTISIMA TRINIDAD;Privado;Provincial;VELEZ SARSFIELD;"1072";Común;Común - Primaria de 6 años
"POINT (-63.24484208 -32.4040051899924)";J.DE INF. REPUBLICA DEL PARAGUAY;Estatal;Provincial;CHILE;"549";Común;Común - Jardín de infantes
"POINT (-63.23188383 -32.3562787299924)";J.DE INF. REPUBLICA DEL PARAGUAY - ANEXO PJE.LAS 4 ESQUINAS;Estatal;Provincial;Ruta Nacional 158 y CALLE PUBLICA;;Común;Común - Jardín de infantes
"POINT (-63.23014911 -32.4028267499924)";ESCUELA DOCTOR NICOLAS AVELLANEDA;Estatal;Provincial;BUENOS AIRES;"2314";Común;Común - Primaria de 6 años
"POINT (-63.2296 -32.4144999999924)";INSTITUTO SECUNDARIO MANUEL BELGRANO;Privado;Provincial;MANUEL ANSELMO OCAMPO;"1836";Común;Común - Secundaria Completa req. 6 años
"POINT (-31.0669436516886 -64.9429050535187)";J.DE INF. FRAY JUSTO SANTA MARIA DE ORO ANEXO CRUZ DE CAÑA;Estatal;Provincial;;;Común;Común - Jardín de infantes
"POINT (-63.24272811 -32.4197923199924)";I.P.E.M. N° 275 COLEGIO NACIONAL DE VILLA MARIA;Estatal;Provincial;SANTIAGO DEL ESTERO;"618";Común;Común - Secundaria Completa req. 6 años
"POINT (-63.23679092 -32.4130741099924)";ESCUELA DR. JUAN B. ALBERDI;Estatal;Provincial;CARLOS PELLEGRINI;"415";Común;Común - Primaria de 6 años
"POINT (-63.24607893 -32.4178115099924)";ESCUELA DR. JOSE BIANCO;Estatal;Provincial;MANUEL BELGRANO;"302";Común;Común - Primaria de 6 años
"POINT (-63.2477 -32.3896999999924)";ESCUELA AGUSTIN ALVAREZ;Estatal;Provincial;AGUSTIN ALVAREZ;"2012";Común;Común - Primaria de 6 años
"POINT (-63.26000253 -32.4086084499924)";ESCUELA PRIMERO DE MAYO;Estatal;Provincial;THOMAS EDISON;"275";Común;Común - Primaria de 6 años
"POINT (-63.20521772 -32.4227985899924)";I.P.E.T.y M. N° 99. ROSARIO VERA PEÑALOZA;Estatal;Provincial;URUGUAY Y VENEZUELA;"3132";Común;Común - Secundaria Completa req. 6 años
"POINT (-63.24873177 -32.3970083899924)";CONSERVATORIO SUPERIOR DE MUSICA FELIPE BOERO;Estatal;Provincial;BOULEVARD ESPAÑA;"1174";Común;Común - SNU
"POINT (-63.24873177 -32.3970083899924)";CONSERVATORIO SUPERIOR DE MUSICA FELIPE BOERO;Estatal;Provincial;BOULEVARD ESPAÑA;"1174";Común;Artistica
"POINT (-63.2214966 -32.4182499499924)";J.DE INF. BERNARDINO RIVADAVIA;Estatal;Provincial;RAMOS MEJIA;"1976";Común;Común - Jardín de infantes
"POINT (-63.2086763 -32.4298930399925)";J.DE INF. DOCTOR ARTURO M. BAS;Estatal;Provincial;EL SALVADOR s/nº;;Común;Común - Jardín de infantes
"POINT (-63.25605391 -32.3949814199924)";C.E.N.P.A. SERVICIO PENITEN. Nº5 A;Estatal;Provincial;GRAL. DEHEZA;"1100";Adultos;Adultos - Primaria
"POINT (-63.2458 -32.3954999999924)";COLEGIO EL CAMINANTE;Privado;Provincial;DEAN FUNES;"1720";Común;Común - Jardín de infantes
"POINT (-63.2458 -32.3954999999924)";COLEGIO EL CAMINANTE;Privado;Provincial;DEAN FUNES;"1720";Común;Común - Primaria de 6 años
"POINT (-63.2495 -32.4048999999924)";INSTITUTO LEIBNITZ;Privado;Provincial;BV. VELEZ SARSFIELD;"1072";Común;Común - SNU
"POINT (-63.24320122 -32.4083331599924)";CEDER VILLA MARIA;Estatal;Provincial;LISANDRO DE LA TORRE;"173";Adultos;Adultos - Formación Profesional
"POINT (-29.7899509505764 -63.9378307740535)";CEDER SAN FRANCISCO DEL CHAÑAR;Estatal;Provincial;SARMIENTO;"281";Adultos;Adultos - Formación Profesional
"POINT (-63.2458 -32.3954999999924)";INSTITUTO EL CAMINANTE;Privado;Provincial;DEAN FUNES;"1720";Común;Común - Secundaria Completa req. 6 años
"POINT (-63.244515 -32.4082259999924)";INSTITUTO SUPERIOR DE EDUCACION Y TRABAJO;Privado;Provincial;JOSE INGENIEROS;"235";Común;Común - SNU
"POINT (-63.2386 -32.4092999999924)";INST. DE ED. ESP. DEL ROSARIO;Privado;Provincial;BV. ALVEAR;"68";Especial;Educacion Especial
"POINT (-63.2200205 -32.3880728299924)";C.E.N.P.A. DE Bº LAS PLAYAS;Estatal;Provincial;25 DE MAYO;;Adultos;Adultos - Primaria
"POINT (-63.25957579 -32.4000959099924)";C.E.N.P.A. DE B° LA CALERA;Estatal;Provincial;JUAREZ CELMAN;"685";Adultos;Adultos - Primaria
"POINT (-63.2297 -32.3968999999924)";C.E.N.P.A. MONSEÑOR ORZALI;Estatal;Provincial;CARLOS PELLEGRINI;"1050";Adultos;Adultos - Primaria
"POINT (-63.23203806 -32.4191352399924)";C.E.N.P.A. EN ESC. GRAL. SAN MARTIN;Estatal;Provincial;GRAL DEHEZA;"1100";Adultos;Adultos - Primaria
"POINT (-63.22002448 -32.3881311399924)";C.E.N.P.A. B (FUNC:ESC.GRANJA LOS AMIGOS);Estatal;Provincial;PROLONG.VELEZ SARSFIELD;;Adultos;Adultos - Primaria
"POINT (-63.24721707 -32.4057540799924)";INSTITUTO INTEGRAL DE ARTE - PROF. DE ARTES EN TEATRO;Privado;Provincial;JOSE INGENIEROS;"509";Común;Común - SNU
"POINT (-63.23709371 -32.4094252199924)";INST. SEP SAN NICOLAS - ANEXO VILLA MARIA;Privado;Provincial;TUCUMAN;"1247";Común;Común - SNU
"POINT (-63.24975376 -32.4123005699925)";C.E.N.M.A. MANUEL ANSELMO OCAMPO;Estatal;Provincial;CATAMARCA;"650";Adultos;Adultos - Secundaria Completa
"POINT (-63.23203806 -32.4191298499925)";C.E.N.M.A. MANUEL ANSELMO OCAMPO ANEXO ROSARIO VERA PEÑALOZA;Estatal;Provincial;CARLOS PELLEGRINI;"1050";Adultos;Adultos - Secundaria Completa
"POINT (-63.2393929 -32.3966119999924)";C.E.N.M.A. MANUEL ANSELMO OCAMPO ANEXO SEDE POLO DE LA MUJER;Estatal;Provincial;INDEPENDENCIA ESQ RAMIRO SUAREZ;;Adultos;Adultos - Secundaria Completa
"POINT (-30.4263094663002 -64.3593708985487)";ESCUELA DE SUBOFICIALES Y AGENTES GRAL MANUEL BELGRANO ANEXO DEAN FUNES;Estatal;Provincial;CONGRESO;;Común;Común - SNU
"POINT (-63.219072 -32.4019249999924)";ESCUELA PADRE HUGO SALVATO;Estatal;Provincial;AV. PERAZZOLO;;Común;Común - Primaria de 6 años
"POINT (-63.218619 -32.4024359999924)";J. DE INF. EDITH VERA DE B° SAN MARTIN (400 VIVIENDAS);Estatal;Provincial;AV. JOSE PERAZZOLO Y SAN LUIS;;Común;Común - Jardín de infantes
"POINT (-31.4130043155994 -64.1388634093398)";C.E.N.M.A. DE Bª MALDONADO ANEXO SEDE MULLER;Estatal;Provincial;OBISPO CASTELLANOS;"256";Adultos;Adultos - Secundaria Completa
"POINT (-63.2365469 -32.4098080999924)";INST. TEC. SUP. LAS ARRIAS ANEXO EXTENSION AULICA SIRELyF VILLA MARIA;Estatal;Provincial;ENTRE RIOS;"1555";Común;Común - SNU
"POINT (-63.242667 -32.4164709999924)";INSTITUTO DE CAPACITACION PROFESIONAL Y ARTISTICA EN IMAGEN DIGITAL;Privado;Provincial;TUCUMAN;"842";Común;Común - SNU
"POINT (-31.4613118097428 -64.1109177436764)";CENTRO DE FORMACION PROFESIONAL Y C L: FUNDACION PATRICIA A. LOPEZ;Estatal;Provincial;SANTIAGO MORALES;"4400";Adultos;Adultos - Formación Profesional
"POINT (-31.4772207696013 -64.0859502875305)";"CENTRO DE CAPACITACION LABORAL Y FORMACION PROFESIONAL ""CORDOBA"" ANEXO EXTENSION AULICA BARRIO CIUDAD DE MIS SUEÑOS";Estatal;Provincial;CALLE PUBLICA;;Adultos;Adultos - Formación Profesional
"POINT (-31.4335708642358 -64.1773641492118)";"CENTRO DE CAPACITACION LABORAL Y FORMACION PROFESIONAL ""CORDOBA"" ANEXO EXTENSION AULICA BARRIO ROGELIO MARTINEZ";Estatal;Provincial;AVENIDA GOBERNADOR ROCA;;Adultos;Adultos - Formación Profesional
"POINT (-63.25900665 -32.4113340499924)";"CENTRO DE CAPACITACION LABORAL Y FORMACION PROFESIONAL ""CORDOBA"" ANEXO EXTENSION AULICA VILLA MARIA";Estatal;Provincial;JUAN MULLER;"651";Adultos;Adultos - Formación Profesional
"POINT (-63.24689639 -32.4119770199924)";ESCUELA BILINGUE BICULTURAL DANTE ALIGHIERI;Privado;Provincial;AVENIDA SABATTINI;"98";Común;Común - Secundaria Completa req. 6 años
"POINT (-63.217005 -32.4087349999924)";ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION;Estatal;Provincial;AVENIDA UNIVERSIDAD;"450";Común;Común - Secundaria Completa req. 6 años
"POINT (-63.2608132 -32.3834059999924)";ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION;Estatal;Provincial;ARTURO JAURETCHE;"1555";Común;Común - Secundaria Completa req. 6 años
"POINT (-63.2179627318503 -32.4088953619504)";UNIVERSIDAD TECNOLOGICA NACIONAL - FRVM;;;AV. UNIVERSIDAD;"450";;
"POINT (-63.2614004152605 -32.3826743157709)";UNIVERSIDAD NACIONAL DE VILLA MARIA - CAMPUS;;;ARTURO JAURETCHE;"1550";;
"POINT (-63.2382607004905 -32.4106721133678)";UNVM - RECTORADO;;;ENTRE RIOS;"1431";;
